图片,标题,简介,作者,收藏数量,评论数量,类型
http://pic.ecook.cn/web/260386480.jpg!s4,黑椒牛柳意面,很多西餐厅用的都是用橄榄油海盐什么的，然而中式家庭一般并不会有这些香料，所以使用相识的调味料都可以替代，如果不是什么专业的美食家也吃不出有什么区别,JDreamer,40,15,西餐
http://pic.ecook.cn/web/260399320.jpg!s4,糖醋脆皮豆腐,豆腐是最普通的食材，加以番茄调味，还真有点西餐的感觉呢，请同学们注意摆盘和拍照，很重要！哈哈！​,佟小鹤,40,13,西餐
http://pic.ecook.cn/web/233664935.jpg!s4,潘普洛纳炖牛尾 ,"副菜之后端上来的就是主菜了，西餐的主菜以肉类为主，不管是牛羊肉还是家禽都可以，可以说主菜才真的是无肉不欢人士的最爱。今天的主菜是牛尾，潘普洛纳炖牛尾
 
提到这潘普洛纳你一定会想到举世闻名的奔牛节，没错，这里正是奔牛节的发源地。一年一度的盛况吸引了无数人去观看，而只有勇敢者才敢去尝试。我很喜欢西班牙的斗牛，连带的也多少会了解一些这方面的知识，并且还渐渐队西班牙美食产生了兴趣，想自己试试做一回
 
在潘普洛纳，最具代表性的美食就是牛尾，到这个地方一定要尝它一把才算没白来。说起这牛尾，我小时候就对他很有好感，因为老爸会拿牛尾炖汤给我喝。现在我更喜欢炖着吃的那种醇香。
尽管样子看着不是很打眼但味道相当霸道，我还是那句话，任何东西都不可貌相，料理尤其如此
",NANA的美食工坊,40,21,西餐
http://pic.ecook.cn/web/227191108.jpg!s4,意大利美味——菠菜鸡肉排,"这是我亲手打造的一款意大利美食，我比较喜欢西餐的味道，所以就自己动手试了一下，味道很不错哦~~
里面的每一步都是我亲自操作的，面包也是用面包机自己烤的，喜欢的朋友欢迎尝试~~~~",NANA的美食工坊,39,19,西餐
http://pic.ecook.cn/web/260327095.jpg!s4,私房糖醋里脊,把中餐按照西餐的摆盘方式也未尝不可，而且我觉得很合适啊！所以，做菜开心最重要，只要好吃可以按照自己喜欢的方式呈现出来！,佟小鹤,39,10,西餐
http://pic.ecook.cn/web/259857160.jpg!s4,香酥鸡排,炸鸡排是无论在中餐、西餐，还是快食店，都可以点到的菜。可见它受欢迎的程度。浇淋上番茄汁，趁热咬一口，嗜肉的朋友顿时觉得各种满足,小姿0118,38,13,西餐
http://pic.ecook.cn/web/263256883.jpg!s4,蒜香烤法棍,"蒜香烤法包这个东西其实是西餐里面作为搭配出现的，基本是跟着主菜一起上来的，可以跟主菜一起吃，也可以在你吃的兴起的时候可以拿它来蘸汤汁。在西餐里面如果你拿面包去蘸菜肴的汤汁，那代表着你对那道菜非常满意，就像咱们吃高兴了拿馒头蘸菜汤是一样的~

今天把这个蒜香包单独拿出来跟大家分解一下，感觉它很难其实非常简单。食材也好买，在家里面完全可以自己做，喜欢的朋友要留意喽~",NANA的美食工坊,37,8,西餐
http://pic.ecook.cn/web/260925622.jpg!s4,香葱火腿面包卷,"香葱、火腿和沙拉酱的组合，绝对美食界的“最佳拍档”，中、西餐当中都运用的很多。火腿和沙拉酱是我家大小伙的最爱之一，可对香葱就很排斥；和多数孩子们一样从小就不爱吃带辛辣味食物，如辣椒、洋葱、韭菜和葱姜等等这些。孩子小时候，凡是带辛辣味的菜我家几乎不买，做菜时遇上必须放葱姜啥的，如红烧肉、蒸鱼啥的，也都尽量将葱姜榨汁或是切成大块的，烧好上桌前拣出扔掉，让他吃姜不见姜。
随着年龄增加，特别是经过大学4年的异地生活，或多或少地改变了他原有的不好习惯与口味；大家都知道，学校集体食堂的饭菜就是那样，不可能跟家庭做菜相同，你爱吃不吃；一顿不吃可以，但总不能顿顿不吃，天天挨饿吧；所以他现在已基本啥都吃了；我呢做饭烧菜也就方便随意很多，时常还会做些香葱火腿、香葱肉松等咸口的面包给他当早餐，自然他也是吃的很开心，很满足呢~~~",老方小雨,32,19,西餐
http://pic.ecook.cn/web/263575374.jpg!s4,双汁烤薯条,"都说薯条是垃圾食品，我知道其实很多大人和孩子就爱吃这口，可是因为给它的定位却不敢吃。其实我这个人不爱吃土豆，可能是跟中餐的烹调手法有关系吧，而且老妈炖出来的土豆从来都是夹生的，所以我从小就对土豆有很大的抵触情绪。可是长大之后发现西餐里的土豆泥和薯条其实还蛮好吃的，渐渐地也就接受了，嘿嘿

你说薯条不健康，其实跟制作方法有关，你用油炸的吃多了肯定不健康啊。咱们今天做个花式薯条，不用油炸，让你放心大胆的吃，心动了没？",NANA的美食工坊,31,6,西餐
http://pic.ecook.cn/web/258390998.jpg!s4,磷虾番茄意大利面,磷虾含有人体必需的7种氨基酸和2种半必需氨基酸，可以改善皮肤组织，增强全身的免疫系统，促进儿童的大脑发育，所以平常多吃磷虾对身体有益。用磷虾做过中式小吃肠粉和云吞，也做过中式家常菜，怎么做都好吃，磷虾肉质鲜美，为美食加分不少，孩子也很爱吃。今天做的是西餐中的面点——意面，平常做意面加的是猪肉或者鸡肉，第一次加入磷虾，想不到鲜美的磷虾和酸酸甜甜的番茄味道很搭呢。,海之韵,29,11,西餐
http://pic.ecook.cn/web/263055928.jpg!s4,黑椒牛排套餐,"老头子说要吃黑椒牛排，让我给他做，多年前我做过一次，不过那时候厨艺不精也难为他吃得满足。时隔多年再一次做黑椒牛排真的是感慨良多，当然我的厨艺已经跟过去不可同日而语，所以这一次一定会给他一个惊喜

我打算做成套餐，就咱们去西餐厅常见到的那种，牛排是主菜，配菜我就用炸薯条和蔬菜沙拉。你如果喜欢也可以换成意面、土豆泥或者煎蛋，但我考虑主要是介绍牛排的制作方法配菜就尽可能简化了",NANA的美食工坊,27,12,西餐
http://pic.ecook.cn/web/263421035.jpg!s4,水果奶酪拼盘,说起西餐不得不说的就是奶酪，不管是在制作各色料理还是佐餐中都有着重要位置，因为奶酪在西餐里的感觉就像豆腐在中餐中的差不多，所以吃法多样，可以当主材也可当配料来用。这次我想用这奶酪来做个花式拼盘，一般在派对的时候用来给客人们当开胃小点，也可拿来当冷盘,NANA的美食工坊,25,7,西餐
http://pic.ecook.cn/web/258891352.jpg!s4,这样吃披萨才爽——重芝士火腿边披萨,在小时候去吃披萨一般只有去西餐厅和pizza hut，现在大街小巷都已经是各式各样口味造型披萨，但价格贵不但加量份量也不足，不如自己的动手做，今天就做了一款重芝士重火腿重口味披萨，刚出炉就被朋友秒光了～～～,咖啡喵喵咪,26,13,西餐
http://pic.ecook.cn/web/259656911.jpg!s4,这样吃土豆必须躲起来吃——烤薯角,"有了烤薯角，炒土豆和炸薯条通通靠边站。
薯角一般在西餐中属于配菜，但味道绝对不输给主菜",咖啡喵喵咪,26,2,西餐
http://pic.ecook.cn/web/263978351.jpg!s4,BBQ烧烤鸡腿扒套餐,"最近这会子总是一个劲儿的想吃西餐，出去吃过，但还是想吃。大家都知道我喜欢自己做菜啦，所以，当外面的食物满足不了我的时候我就只能靠自己了。

说是做西餐，但我更想吃那种烤的肉排，干脆，来个美式烧烤吧！买两个大鸡腿，再买点烤肠，来个烧烤套餐一定很不错。相信就算是对西餐接受无能的人也能接受这种西式烧烤，不是吗~

我这是做的双人份，而且北方人饭量比较大，你可以根据自家情况进行调整",NANA的美食工坊,25,6,西餐
http://pic.ecook.cn/web/258801246.jpg!s4,奶油胡萝卜汤,这是西餐中常见的汤，颜色鲜艳，很适合小朋友喝，第一次做女儿就惊艳了，强烈要求再制作，很适合不喜欢吃胡萝卜的小朋友！,fish8005,23,10,西餐
http://pic.ecook.cn/web/50478536.jpg!s4,荷兰豆芦笋浓汤 宝宝辅食，土豆+牛奶,"天气渐渐微凉，浓汤又成了最合适的早餐之选，暖心暖胃，足以把起床气全部抛掉。

今天的浓汤摒弃了黄油、奶油、甚至面粉等西餐浓汤必备元素，忠于食物的原味，这样的浓汤果腹又健康。不管是大宝还是小宝，男女老少，减脂还是增肌，都再合适不过了。

参考月龄：7M+",一日五餐辅食,23,11,西餐
http://pic.ecook.cn/web/263047755.jpg!s4,番茄蔬菜浓汤,我喜欢喝浓汤，从学生时代就开始了。那时候不会做菜就在超市里买那种袋装的拿热水一冲就好的方便型浓汤，因此我还得到了好多厂家赠送的杯子，现在也还用着。这两年做西餐做的挺多也自己做过浓汤觉得完全可以胜任，于是我又开始琢磨做个蔬菜的浓汤试试，西餐的汤都大同小异，只要会了一个其他的也就不难了,NANA的美食工坊,22,13,西餐
http://pic.ecook.cn/web/262705012.jpg!s4,法式牛肉暖锅,"Pot-au-Feu字面意思是“火锅”，西餐里面的火锅更接近于中国人说的暖锅，多采用慢煮的方式。在法国，最经典的暖锅是牛肉暖锅，在冬季，不少传统的法式餐厅都会推出这道时令菜。牛肉暖锅的材料相当简单，无非是牛肉与蔬菜罢了，烹调更是没难度，相当适合家庭烹饪。
",讲食堂,22,11,西餐
http://pic.ecook.cn/web/261168784.jpg!s4,牧羊人派（Shepherd’s pie）,"之前看一个短篇摄影师的一周vlog，她想改变自己的饮食习惯，记录一周的饮食，其中一天的晚餐，她为自己生病的男友烤了牧羊人派，瞬间觉得这个做主食很不错。不同于以往的甜派，它没有派皮，是一道既可以当菜，也可以当饭的英式菜。
牧羊人派（Shepherd’s pie），又称为农舍派（cottage pie），是英国的一种传统料理。它并不像西点中的派一样有酥皮，而是用土豆、肉类和蔬菜做的不含面粉的派，被当作主食。烤出来香气四溢，而3个土豆和适量的牛肉、蔬菜就能让你美美地饱餐一顿，增加用量和使用大烤盘时，也适合用来招待多人。",JessicaYang,22,4,西餐
http://pic.ecook.cn/web/260615435.jpg!s4,10分钟自制香浓幼滑花生酱,对喜欢花生酱的人来说，离开了它每一餐的乐趣都会降低很多，从外面买的花生酱吃着也不放心，那就自己来做吧！颗粒型、柔滑型、甜的、咸的都随自己选。 用具：GOURMETMAXX西餐厨师机,昵称259556853,22,2,西餐
http://pic.ecook.cn/web/259392899.jpg!s4,扁豆焖意面,"相信很多人“记忆中妈妈的味道”里，都有这样一道餐，它既可以当饭，也可以当菜，那就是“豆角（扁豆）焖面”。小时候，每次母亲做完，我都可以吃上一大碗。

其实，这不过都是些普通的不能再普通的食材，经过一些调料的融合，却产生了让人“念念不忘、回味无穷”的味道。

在德国，意大利面很便宜，家里也常常备有。中午做饭时，发现家里有扁豆，便突发奇想——“西餐中做”，何不做一道“扁豆焖意面”？没想到味道很不错。连刘先生都说，吃起来让他想起了上大学时，学校附近一家河南焖面馆里的味道。
",沐忍青,21,10,西餐
http://pic.ecook.cn/web/263812910.jpg!s4,茄汁培根焗饭,前段时间开始我就想吃点西餐，但是无奈犯起了懒，懒得出去吃更懒得自己做，所以就这么一直耗着。家里买的西红柿什么的也开始慢慢走向腐败变质，扔掉了好几个，老头子还说我不做买它回来做什么。好吧，为了不让剩下的也进垃圾桶我还是打起精神把它们一股脑的给解决了吧！家里正好前一天刚做了锅米饭也没怎么吃，再看看冰箱里现有的食材觉得做成焗饭比较好，嗯，不错！,NANA的美食工坊,20,6,西餐
http://pic.ecook.cn/web/258626985.jpg!s4,奶油浓金汤💮香蒜吐司,奶油浓汤💮香蒜吐司是西餐厅里的畅销款，南瓜奶油浓汤口感细腻顺滑，美味香醇，香蒜吐司焦黄酥脆，满口生香,食九刀,19,1,西餐
http://pic.ecook.cn/web/256700273.jpg!s4,鲍汁焗小排淋酸甜洋葱酱,减肥的时候，难免又饿又馋。想吃肉怎么办，那就试试这款焗小排吧。,MissE,18,54,西餐
http://pic.ecook.cn/web/262361955.jpg!s4,地中海青口贝,"青口贝，又叫翡翠贻贝，因翠绿的外壳而得名，看上去十分讨喜。这东西在西餐中比较多见，咱们国人比较熟悉的还是常见的那种普通贻贝，又便宜又好吃。这青口贝因为是进口的所以身价不菲，在超市买了一包40块，正好够一顿的分量，其实也没有很多，也就十几只的样子，但是做西餐这些也就足够了

今天做道地中海风味海鲜料理，就用这青口贝，再调个酱汁，一定鲜美可口",NANA的美食工坊,16,10,西餐
http://pic.ecook.cn/web/263299294.jpg!s4,地中海风味小炒：番茄牛油果炒虾,"我是个喜欢吃虾的人，主要是因为吃着不费劲比较好剥，哈哈。西餐里面的海鲜也普遍比较合我的胃口，但大多数都是煎啊、煮啊、炸啊的，要么就是跟主食放在一起，偶然的机会看到了这道地中海风格的小炒，炒的海鲜西餐中倒是蛮少见的。制作方法简单食材也不难买，所以我也想自己试试看做出来的味道如何

以前买过一次牛油果，但那时候对这东西不了解还没有等它变软就给切了，结果是有股子青草味儿不太好吃。后来知道要软了才好吃，这不，又买了一个回来。想着好好做道菜看看效果，嘿嘿~~",NANA的美食工坊,16,6,西餐
http://pic.ecook.cn/web/262934181.jpg!s4,墨汁意面,在做过了红酱、青酱和白酱之后，今天我要做意面四种酱汁中的最后一种：黑酱。我在外面吃的最多的见得最多的是红酱，黑酱可能不是每个西餐厅都会有的吧，这黑酱其实就是墨鱼汁，有些人吃不惯可能会觉得腥。一般来说市面上用墨鱼汁做的意面有两种类型，一种是在和面的时候就加在面里，做出乌黑的面条。另一种是单独做酱汁使用。我做的是后者，而这种酱汁大多都是海鲜口味，所以我还是做海鲜面,NANA的美食工坊,15,10,西餐
http://pic.ecook.cn/web/257832919.jpg!s4,意面经典cp 青酱君,对西餐真心不熟悉，去北京网红菜市场见世面，面对一条街琳琅满目的西餐调味料，只听说过罗勒，买了2两就30块。从七月姥姥家搜刮了一把没剥皮的松子，又顺了两瓶橄榄油，加上那天一起买的奶油奶酪，尝试一下经典的青酱意面，味道嘛……我形容不出来青酱的味道，反正不难吃，挺清爽的，主要是做法也简单，适合初次尝试西餐的新手。缺点是不确定能储存多久。,摩卡好甜,15,12,西餐
http://pic.ecook.cn/web/263250798.jpg!s4,地中海风味烤薯角,"很多人爱吃薯条之类的东西，我本人也是，不说是嗜薯条如命吧，但时间久了不吃也想的慌。快餐店的我不买，因为太贵，但超市里散装的那种我是买的，相信很多人也跟我一样吧。尤其是些家里有孩子的，估计这东西吃得更多，家长们一方面担心孩子们的身体一方面又禁不住孩子的渴求，这矛盾的心情可能很多人都会有

传统的薯条油炸之后多吃确实对健康不利，但是咱们可以换种做法啊，比如烤，这样就健康多了不是吗？以前在西餐厅吃过薯角觉得很好吃，我自己改良一下，把炸换成烤的，做个地中海风味",NANA的美食工坊,15,6,西餐
http://pic.ecook.cn/web/261222618.jpg!s4,能给你多巴胺的「他」★牛肉西红柿汤,"备料时间：15分钟左右
制作时间：2.5个小时
难易指数：★
口味关键词：酸，鲜，香，总之一个字，嗯！",俏厨娘悠佳儿,7,0,西餐
http://pic.ecook.cn/web/15489786.jpg!s4,蟹粉意面,意面是西餐品种中最接近中国人饮食习惯，最轻易被接受的。蟹粉意面，将大闸蟹的鲜美和意大利面的香浓经典的组合在一起，鲜味弥留齿间，惊艳味蕾。,私厨Roman,6,10,西餐
http://pic.ecook.cn/web/262228509.jpg!s4,芝麻酱意面,意面用芝麻酱拌着吃，也很好吃哦，西餐中做。,小猫厨房,9,10,西餐
http://pic.ecook.cn/web/237182287.jpg!s4,可以当零食又可以当主食的香煎小土豆,马铃薯具有很高的营养价值和药用价值。它富含大量碳水化合物，能供给人体大量的热能。马铃薯的营养成分也非常全面，含有蛋白质、矿物质（磷、钙等）、维生素等多种成分，营养结构也较合理，有“地下苹果”之称。其所含的维生素C是苹果的10倍，B族维生素是苹果的4倍，各种矿物质是苹果的几倍至几十倍不等，食用后有很好的饱腹感。 马铃薯的皮富含绿原酸和硫辛酸。绿原酸有抗氧化和抗癌的功效，硫辛酸可淡斑、防止皮肤老化。,昵称227974352,488,18,西餐
http://pic.ecook.cn/web/238697459.jpg!s4,黑椒牛柳 ,可能是国内接受度最高的一道西餐了，有时甚至觉得它是道中餐。嫩滑多汁的牛肉和芳香提鲜的黑胡椒，像一对相识多年的老友般配合默契。黑胡椒富有存在感，却不会喧宾夺主。（非原创）,Julia-juju,370,18,西餐
http://pic.ecook.cn/web/225758561.jpg!s4,意式焗饭,焗饭是指用专用的焗炉烤制而成的米饭，饭里有菜。这是西餐的做法。（焗，客家菜烹调方法，是以汤汁与蒸气或盐或热的气体为导热媒介，将经腌制的物料或半成品加热至熟而成菜的烹调方法。）,cushing蔡小璇,310,74,西餐
http://pic.ecook.cn/web/247878388.jpg!s4,蚝油西兰花,西兰花的营养非常丰富，被誉为“蔬菜皇冠”。这个做法又简单又省时！,周小米的私房菜,300,16,西餐
http://pic.ecook.cn/web/237829306.jpg!s4,“假装米其林”牛排家庭套餐,适合一人食or二人烛光晚餐的西餐,伊施小妹,214,24,西餐
http://pic.ecook.cn/web/237071530.jpg!s4,咖喱鸡肉饭,"咖喱是以姜黄为主料，另加多种香辛料配制而成的复合调味料。其味辛辣带甜，具有一种特别的香气。
主要用于烹调牛羊肉、鸡、鸭、螃蟹、土豆、花椰菜、汤羹等，是中西餐常用的调味料。在东南亚许多国家中，咖喱是必备的重要调料。
咖喱形式也有多种，今天我们用到的是咖喱块，简简单单，美味的咖喱鸡饭就做好了，保证你吃了之后再也不想去外面吃了。。",白茶home,207,33,西餐
http://pic.ecook.cn/web/240591132.jpg!s4,烤肉焗饭,"焗，是一种制作工艺。相等于蒸、焖、烤、炸等，焗是用专用的焗炉烤制而成，相较于其他的制作手法，焗更能保留食物的原汁原味，更能挖掘食物的营养价值。这是一种西餐技艺。
焗饭，顾名思义是一种被浓香芝士覆盖着的一种食物，是芝士与米饭的完美结合。较适合年轻群体。与披萨、意面并列为西餐三大经典系列。",未走完的棋,193,24,西餐
http://pic.ecook.cn/web/239437978.jpg!s4,生焗啫啫湛江鸡,"啫” 普通话发音zé，shi，一般在广东白话口语中常用的语气助词,发音类似“zai”

“生啫”是由西餐铁板焗改良而来的，经过数十年的发展，现在已经成了粤菜的一种经典烹调方式。因烹制时选用的器皿不同，还可细分为铁板啫和砂锅啫。“生啫”是利用瓦煲或铁板传热，把放在里面的食物焗熟，中途不加汤汁，完全靠原料本身所挥发出的蒸汽来焗熟材料。它最大的特点是酱味十足，香气扑鼻。上桌后揭开煲盖，“啫啫”作响，香味随之四散开来，于是有人戏称其为会唱歌的菜。

可用来生啫的原料很多，从鳝鱼到牛蛙，从鱼嘴到鸡块，从海鲜到蔬菜，无所不“啫”。另外，青红椒、蒜瓣、洋葱、干葱头等香辛辅料也是必不可少的，而菜肴的味道，则是由自调的生啫酱决定的。

点菜时，一般用客家发音“jue”或粤语发音“zai”，你要生ze鱼头，服务员肯定犯傻

",用户8829,170,27,西餐
http://pic.ecook.cn/web/6988272.jpg!s4,自制俄式酸黄瓜,很多西餐都会用到的俄式酸黄瓜，这个用的是发酵法，吃起来的口感比醋泡法酸味更柔和，夹在三明治里或者直接吃都粉不错哦！ ,尾狐v,141,8,西餐
http://pic.ecook.cn/web/244532260.jpg!s4,"家庭自制牛排
","比较爱吃西餐，外面西餐有时候又很贵，所以就自己在家diy
",财源滚滚来,102,44,西餐
http://pic.ecook.cn/web/256545111.jpg!s4,鸡排,"鸡排是西餐桌上不可少的一大特点，外酥里嫩，百吃不厌。对于宝宝总是不放心吃太多。今天分享宝宝鸡排的做法。让宝宝吃的健康，妈妈放心！
想学习更多辅食的朋友
可以加我:1647502733
群内纯分享无广告
❤️12m+（优质蛋白质）

",梓良麻麻,98,7,西餐
http://pic.ecook.cn/web/258665405.jpg!s4,芝士焗烤火鸡面,"#罐头小厨#网红火鸡面只是拌着来吃，那就太平凡了！小厨教你火鸡面变身西餐焗面，分分钟秒杀意面、千层面！这才是火鸡面最惊艳的打开方式！

",罐头视频,87,6,西餐
http://pic.ecook.cn/web/15984395.jpg!s4,葡汁烩小排佐甜豆香菇,在西餐中，红酒不仅是佐餐的佳饮，也可以用来烹饪很多的美食。干红葡萄酒色呈宝石红，优美悦目，酒香浓郁，其中含有一定的酚类物质，浸出物较高，一般配以肉排、牛排、等红肉类菜肴。在传统西餐中一道最经典的红酒炖牛腩，就是完全用干红葡萄酒炖制而成，一方面可以解除肉的油腻感，再配合传统的西餐香料：百里香，迷迭香，月桂叶，使的红酒炖煮的肉类更加具有醇厚浓郁的香味。浸入肉中丝丝的红酒香混合着各种香料的味道，再搭配犹如宝石般诱人的红葡萄酒，浪漫而迷人的美食让人沉醉。,雯婷茜子,77,13,西餐
http://pic.ecook.cn/web/247530089.jpg!s4,蔬菜沙拉,西餐的一种,桃园山庄,75,20,西餐
http://pic.ecook.cn/web/247084046.jpg!s4,水波蛋,"西餐中经常用到水波蛋，比如班尼迪克蛋。中餐中比较典型的水波蛋料理，醪糟蛋应该算一个。与中餐相比，西餐对水波蛋的颜值要求更高，所以煮出一颗完美的水波蛋就成为许多西餐达人不懈的追求。
- 厨具 -
带盖平底煮锅
细网筛
漏勺
碗",Alice,66,37,西餐
http://pic.ecook.cn/web/260873809.jpg!s4,茄汁意面,"用简单食材，做美味佳肴。
中西合璧，老外的意面+中国的番茄鸡蛋，换个吃法，换个口味，既满足了西餐的需求，又满足中餐的胃。",碳烤小肥杨,66,8,西餐
http://pic.ecook.cn/web/2519456.jpg!s4,肉酱茄汁意面伴牛排,比较爱的一道西餐,心心西西,66,1,西餐
http://pic.ecook.cn/web/7032401.jpg!s4,意大利肉酱面 ,吃不惯西餐的你一定吃得惯它,幸福de眼泪,65,6,西餐
http://pic.ecook.cn/web/226946915.jpg!s4,意式番茄蘑菇通心粉,对于爱西餐的吃货来说，什么意面啦通心粉啦，统统都是抵挡不了的美味。通心粉可以做了酱拌上吃，可以炒着吃，当然还可以铺上马苏里拉焗着吃😍,吾心琉璃🌻,61,23,西餐
http://pic.ecook.cn/web/241397775.jpg!s4,罗宋汤,罗宋汤来自俄罗斯，在西餐里很受欢迎，它酸甜开味，色泽诱人，增加食欲。,吃货的世界,56,17,西餐
http://pic.ecook.cn/web/260327435.jpg!s4,烤肉汁鸡胸肉,鸡胸肉蛋白质高但不会胖，是控制体重的最佳肉食选择。,筱丫厨的饭饭,48,6,西餐
http://pic.ecook.cn/web/260481770.jpg!s4,甜菜头瘦身沙拉-甜菜头吃法之一,"它是生命之根，补血、抗癌，还瘦身，最适合女性，很多人却不知道

紫菜头又称红菜头、红根甜菜，由生长在地中海沿岸的一种名叫海甜菜根的野生植物演变而来。其颜色红焰如火，又被称为火焰菜。甜菜头在北方比较常见，称作紫菜头；南方称甜菜头，较少见。很多人不知道这是什么，都以为是萝卜，因为长得样子外表看确实像红萝卜，所以多数人也不知道怎么吃。

甜菜头略带甜味，营养价值较高，富含糖分和多种矿物质，能抗感染，增加细胞含氧量，治疗血液病，肝病及免疫系统功能紊乱。甜菜头含有对人体非常好的叶酸，是预防贫血的重要物质之一。甜菜头中具有自然红色维生素B12和优质的铁质，是女士与素食者补血的最佳自然营养品。
甜菜根中含有碘的成分，对预防甲状腺肿以及防治动脉粥样硬化都有一定疗效。甜菜根中还含有相当数量的镁元素，有调节软化血管的硬化强度和阻止形成血栓，对治疗高血压有重要作用。
甜菜根中还含有大量的纤维素和果胶成分，可以抗胃溃疡病，还能治吐泻和驱除腹内寄生虫的功能。甜菜头还有抗癌、防止老年痴呆症的作用，能健胃消食、止咳化痰、利尿、消热解毒等。
在古代英国的传统医疗方法中，甜菜根是治疗血液疾病的重要药物，被誉为“生命之根”。
甜菜头好处这么多，可很多人不仅不了解，而且不知道怎么吃。甜菜头的最简单吃法，就是这款瘦身补血的清淡沙拉了，也是我比较喜欢的。做法简单，开胃、清淡爽口。这种做法是比较西式的做法，西餐厅一般这样处理后用来配盘。 甜菜头沙拉一般是经蒸熟后切块，混入干酪、杂蔬、坚果、香草等。我这个是更简单的瘦身版。西餐还用它来做汤，汤的做法随后再分享。
",mature11,46,8,西餐
http://pic.ecook.cn/web/233728501.jpg!s4,跨国混搭：意大利香肠薄饼卷,"头盘是西餐最先上的一道菜，也叫开胃菜，分量很小，目的是让客人垫垫肚子打开食欲。因为西餐都是上一道吃一道，吃完一道撤盘子再制作下一道的。在下一道上桌之前正好用头盘打发时间
 
说起这个菜品，其实是各种剩余材料大集合的结果。买的墨西哥薄饼还剩两张，意大利香肠还剩半袋，胡萝卜还剩一小块，就连蛋黄酱也剩个底了，唯一买的就是西生菜。我是按照以前做过的墨西哥鸡肉卷的路子来做的，想想应该蛮好吃，也能把剩余材料一次性打扫干净~~

在炒香肠和胡萝卜的时候如果用不粘锅就不用放油和盐，因为香肠本身就含油盐。其实这种香肠挺咸的，加些蔬菜卷饼里正好可以中和一下。营养方面也是比较均衡的，老头子和老妈都说很好吃，嘿嘿~~",NANA的美食工坊,45,18,西餐
http://pic.ecook.cn/web/232928174.jpg!s4,蘑菇洋葱牛肉小炒——偶尔自私很开心,"表个态，这道菜，完全是自己中午开小灶自私的产物。
 
KK这个人不吃洋葱，对蘑菇也是50/50的。平时做饭都随他的口味，偶尔中午自己做点自己爱吃的，情有可原吧？

最近好些朋友都问我，中餐要怎么做？这个问题把偶给问傻了。我们家一个星期最多就做一次中餐，其他时候都是西餐。偶并不擅长中餐，在国内的时候，自己做饭的机会并不多。来到新西兰后，中餐原料不好买，做西餐会比较方便。朋友不解，说：“你是中国人呀？应该常吃中餐的。”偶笑道：“在国内活了26年，吃了26年的米饭，现在该换换花样，尝试各国的食物。”
不过，作为中国人，有的时候也会特别想念米饭，想念平易近人的下饭小炒。一旦蹦出要吃米饭的念头，这个信号就会在脑子里挥之不去，即使眼前是一大推诱人美食，心里也会有一种吃不到米饭就吃不饱，睡不好！只有就着下饭菜吃到一碗热乎乎的米饭，这个信号才会从脑子里删掉。这就叫做Craving，渴求和欲望。肿么这么一讲，偶好像成孕妇了？

蘑菇洋葱牛肉小炒就是一道令人渴求的下饭菜，每一口都是那样让人舒心，每一口伴着米饭都让人欲罢不能。",中纽Nelson,44,13,西餐
http://pic.ecook.cn/web/234845429.jpg!s4,潇大妈-意大利面,意大利面，也被称为意粉，是西餐正餐中最接近中国人饮食习惯的面点。意大利面条有很多种类，每种都有自己的名称，长短有差，其空心的种类被部分汉语使用者称为通心粉。,如果爱，请深爱,43,16,西餐
http://pic.ecook.cn/web/236676175.jpg!s4,Spaghetti aop,为了迎合实时活动“人人都会做西餐”，教大家一个意大利餐里的最基本的一款面--Spaghetti aop。这是一款每一个意大利餐厅里都有的但是不会进入菜单的意大利面，就相当于我们中餐的番茄炒蛋，不管到哪一个餐厅只要你点都能吃得到的菜谱！,ALei,42,27,西餐
